Country Name,Country Code,Year,Access to electricity (% of population),GDP per capita (current US$),Individuals using the Internet (% of population),"Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Argentina,ARG,1990.0,92.1548004150391,4315.33329358672,0.0,32755901.0,
Argentina,ARG,1991.0,92.4921875,5709.24784079504,0.0,33230294.0,5.44
Argentina,ARG,1992.0,92.8294525146484,6789.99611136495,0.002992874,33693527.0,6.36
Argentina,ARG,1993.0,93.1660461425781,6931.85596375876,0.029527065,34152717.0,10.1
Argentina,ARG,1994.0,93.5012741088867,7437.56242327594,0.043705951,34613491.0,11.76
Argentina,ARG,1995.0,93.8344650268555,7357.6162773788,0.086277081,35070020.0,18.8
Argentina,ARG,1996.0,94.1649398803711,7663.21271287469,0.141954704,35513793.0,17.11
Argentina,ARG,1997.0,94.4920120239258,8146.78710021431,0.280339882,35947791.0,14.82
Argentina,ARG,1998.0,94.8150024414063,8218.99212764682,0.83076668,36372860.0,12.65
Argentina,ARG,1999.0,95.1331558227539,7705.54288252851,3.284481956,36794682.0,14.05
Argentina,ARG,2000.0,95.7,7637.01489203628,7.03868,37213984.0,15.0
Argentina,ARG,2001.0,95.5,7141.47507662826,9.78081,37624825.0,17.32
Argentina,ARG,2002.0,96.1,2569.69963519124,10.8821,38029349.0,19.59
Argentina,ARG,2003.0,96.3,3320.47775133903,11.9137,38424282.0,15.36
Argentina,ARG,2004.0,96.5,4242.02099089422,16.0367,38815916.0,13.522
Argentina,ARG,2005.0,96.7,5067.65342293276,17.7206,39216789.0,11.506
Argentina,ARG,2006.0,97.0,5869.38028970204,20.9272,39622115.0,10.078
Argentina,ARG,2007.0,97.2,7185.25155147027,25.9466,40016763.0,8.47
Argentina,ARG,2008.0,97.5,8944.1102657357,28.1126,40424148.0,7.837
Argentina,ARG,2009.0,97.8,8150.23527028221,34.0,40854831.0,8.645
Argentina,ARG,2010.0,98.8,10260.1313108254,45.0,41288694.0,7.714
Argentina,ARG,2011.0,99.0,12704.2831819684,51.0,41730660.0,7.18
Argentina,ARG,2012.0,99.1,12949.717486654,55.8,42161721.0,7.217
Argentina,ARG,2013.0,99.3,12963.675773326,59.9,42582455.0,7.1
Argentina,ARG,2014.0,100.0,12233.1444119186,64.7,43024071.0,7.268
Argentina,ARG,2015.0,99.7,13679.6264980954,68.0431,43477012.0,7.579
Argentina,ARG,2016.0,99.9,12699.9623137756,70.969,43900313.0,8.085
Argentina,ARG,2017.0,100.0,14532.5009308511,74.2949,44288894.0,8.347
Argentina,ARG,2018.0,100.0,11752.7998922979,77.7,44654882.0,9.22
Argentina,ARG,2019.0,100.0,9955.97478680428,79.947,44973465.0,9.843
Argentina,ARG,2020.0,100.0,8535.59938004389,85.5144,45191965.0,11.461
Argentina,ARG,2021.0,100.0,10738.0179223384,87.1507,45312281.0,8.736
Argentina,ARG,2022.0,100.0,13935.6811110049,88.3754,45407904.0,6.805
Argentina,ARG,2023.0,,14187.4827252965,89.229,45538401.0,6.139
